Link,t,Path,Min or Max
link,-6,0,Min
link,-5.75,1,Min
link,-5.5,2,Min
link,-5.25,3,Min
link,-5,4,Min
link,-4.75,5,Min
link,-4.5,6,Min
link,-4.25,7,Min
link,-4,8,Min
link,-3.75,9,Min
link,-3.5,10,Min
link,-3.25,11,Min
link,-3,12,Min
link,-2.75,13,Min
link,-2.5,14,Min
link,-2.25,15,Min
link,-2,16,Min
link,-1.75,17,Min
link,-1.5,18,Min
link,-1.25,19,Min
link,-1,20,Min
link,-0.75,21,Min
link,-0.5,22,Min
link,-0.25,23,Min
link,0,24,Min
link,0.25,25,Min
link,0.5,26,Min
link,0.75,27,Min
link,1,28,Min
link,1.25,29,Min
link,1.5,30,Min
link,1.75,31,Min
link,2,32,Min
link,2.25,33,Min
link,2.5,34,Min
link,2.75,35,Min
link,3,36,Min
link,3.25,37,Min
link,3.5,38,Min
link,3.75,39,Min
link,4,40,Min
link,4.25,41,Min
link,4.5,42,Min
link,4.75,43,Min
link,5,44,Min
link,5.25,45,Min
link,5.5,46,Min
link,5.75,47,Min
link,6,48,Min
link,6,49,Max
link,5.75,50,Max
link,5.5,51,Max
link,5.25,52,Max
link,5,53,Max
link,4.75,54,Max
link,4.5,55,Max
link,4.25,56,Max
link,4,57,Max
link,3.75,58,Max
link,3.5,59,Max
link,3.25,60,Max
link,3,61,Max
link,2.75,62,Max
link,2.5,63,Max
link,2.25,64,Max
link,2,65,Max
link,1.75,66,Max
link,1.5,67,Max
link,1.25,68,Max
link,1,69,Max
link,0.75,70,Max
link,0.5,71,Max
link,0.25,72,Max
link,0,73,Max
link,-0.25,74,Max
link,-0.5,75,Max
link,-0.75,76,Max
link,-1,77,Max
link,-1.25,78,Max
link,-1.5,79,Max
link,-1.75,80,Max
link,-2,81,Max
link,-2.25,82,Max
link,-2.5,83,Max
link,-2.75,84,Max
link,-3,85,Max
link,-3.25,86,Max
link,-3.5,87,Max
link,-3.75,88,Max
link,-4,89,Max
link,-4.25,90,Max
link,-4.5,91,Max
link,-4.75,92,Max
link,-5,93,Max
link,-5.25,94,Max
link,-5.5,95,Max
link,-5.75,96,Max
link,-6,97,Max
