image,responder_id,response,responses
img-1,1,walk of shame,10
img-1,2,sad seed sower,25
img-1,3,all up hill,33
img-1,4,handheld tatoo machine,1
img-1,5,following breadcrumbs,49
img-2,1,hostile takeover,36
img-2,2,fighting cars,31
img-2,3,fight to be last,14
img-2,4,youth psychiatry,1
img-2,5,punch and drive,36
img-3,1,sports montage,56
img-3,2,ball playing triplets,31
img-3,3,"whatever it is, i love it",11
img-3,4,learn japanese online,6
img-3,5,ball becomes child,14
img-4,1,ted bundy's banjo,11
img-4,2,poisoned guitar,26
img-4,3,chainsaw massacre,47
img-4,4,man with gun,3
img-4,5,death by leaf blower,31
img-5,1,meat sweats,18
img-5,2,australian sheep love drumsticks,15
img-5,3,raining dogs up and down,29
img-5,4,sad human internal organs,4
img-5,5,badly explained climate change theory,52
img-6,1,mad grocery bagger,12
img-6,2,pet store anteater,29
img-6,3,gone shopping for a zebra,29
img-6,4,shopping weevil,32
img-6,5,convicted croissant escapes supermarket,16
